verdict	rooms	location	evidence
NONE	32	the sea caverns	
NONE	31	Damsel of the Deep	
CLEAR	30	the Karazja Jungle	River's Rest / Torre (100% of 15)
CLEAR	29	the Shimmering Mists	Mist Harbor / Four Winds Isle (100% of 15)
CLEAR	27	the Needle of Pentas	Isle of Ornath (94% of 88)
NONE	27	the distant forest	
NONE	25	Graendlor Pasture	
NONE	25	Ocoma Vale	
CLEAR	25	the Isle of Four Winds	Mist Harbor / Four Winds Isle (100% of 98)
NONE	23	Brayern Isle	
NONE	23	Melgorehn's Reach	
CLEAR	22	Cysaegir	Cysaegir (100% of 153)
CLEAR	22	the Flotilla	Tenebrous Cauldron (100% of 94)
NONE	22	the city of Mestanir	
NONE	21	Elanthia	
CLEAR	19	the town of Wehnimer's Landing	Wehnimer's Landing (100% of 359)
CLEAR	18	Talador	Wehnimer's Landing (100% of 72)
NONE	18	the Sea of Fire	
NONE	17	Dubh Brugh	
CLEAR	17	Lumnea Meadow	Ta'Illistim (100% of 15)
NONE	16	Warcamp	
NONE	16	Wehntoph	
CLEAR	15	Naidem	QUEST: Ebon Gate Festival (100% of 168)
CLEAR	12	the town of Kharam-Dzu	Teras / Kharam Dzu (100% of 375)
CLEAR	10	Maelstrom Bay	River's Rest / Torre (100% of 88)
CLEAR	10	the Moonglae Inn	Ta'Illistim (100% of 43)
CLEAR	10	the Shimmarglin Inn	Ta'Illistim (100% of 28)
CLEAR	10	the free port of Solhaven	Solhaven / Vornavis (100% of 303)
NONE	9	near the Outlands	
NONE	9	the Dark Tower, outside the glacier-locked town of Icemule Trace	
NONE	8	Drunken D'Wharf, inside the island town of Mist Harbor	
NONE	8	Moonshine Manor	
NONE	8	between Wehnimer's Landing and Solhaven	
CLEAR	8	the High Plains	Icemule Trace (100% of 37)
CLEAR	7	Coral Villa, outside the island town of Mist Harbor	Mist Harbor / Four Winds Isle (100% of 2)
NONE	7	Emberstone Hall, inside the island town of Mist Harbor	
NONE	7	Greystorm Manor, inside the frontier town of Wehnimer's Landing	
CLEAR	7	Private Habitats	Teras / Kharam Dzu (100% of 1)
CLEAR	7	Stone Manor, outside the island town of Mist Harbor	Mist Harbor / Four Winds Isle (100% of 2)
NONE	7	The Black Rose, inside the elven fortress of Ta'Vaalor	
NONE	7	the Realm of Naidem	
CLEAR	7	the town of Icemule Trace	Icemule Trace (100% of 42)
NONE	6	Dragonfly Den, inside the island town of Mist Harbor	
NONE	6	Melgorehn's Retreat, outside the frontier town of Wehnimer's Landing	
CLEAR	6	The Tenebrous Cauldron	Tenebrous Cauldron (100% of 34)
NONE	6	Wyrwood Retreat, outside the frontier town of Wehnimer's Landing	
CLEAR	6	the River Muagh	Teras / Kharam Dzu (100% of 44)
NONE	5	Aurora's Light Stables, outside the elven city of Ta'Illistim	
NONE	5	Cuddfan Hollow, inside the Northern Caravansary on the outskirts of Wehnimer's Landing	
NONE	5	Epilogue, inside the dwarven caverns of Zul Logoth	
NONE	5	Finders Keepers, inside the elven city of Ta'Illistim	
NONE	5	Hearth's Desire	
CLEAR	5	Keh'nira Fyr'sah	Cysaegir (100% of 1)
NONE	5	The Brewery, inside the island town of Mist Harbor	
NONE	5	The Falcon, inside the seaside town of Solhaven	
NONE	5	Warcat Suite, inside the frontier town of Wehnimer's Landing	
NONE	5	Zrenigotham House, inside the frontier town of Wehnimer's Landing	
NONE	4	CHE Central	
CLEAR	4	Ta'Illistim Embassies	Ta'Illistim (100% of 70)
CLEAR	4	White Haven	Icemule Trace (100% of 39)
CLEAR	4	the Abbey	Icemule Trace (100% of 118)
SPLIT	4	the Adventurer's Guild	Solhaven / Vornavis (9); River's Rest / Torre (7); Ta'Illistim (4)
CLEAR	4	the twin spires of Thanatoph	Consultation Rooms and Cells (100% of 1)
CLEAR	3	Bungalow at Nereid's Cradle, inside the pirate paradise of Kraken's Fall	Kraken's Fall (100% of 6)
CLEAR	3	Highman Games near Icemule Trace	Yuriqen Transport (100% of 70)
NONE	3	Isle of Ornath	
NONE	3	Kestrel's Perch, outside the frontier town of Wehnimer's Landing	
NONE	3	Liia's Office	
NONE	3	Pan's Place, inside the frontier town of Wehnimer's Landing	
CLEAR	3	Ta'Nalfein	Ta'Nalfein (100% of 109)
CLEAR	3	the town of River's Rest	River's Rest / Torre (100% of 184)
CLEAR	2	Elven Nations Port	Ta'Vaalor (100% of 35)
NONE	2	Emberstone Hall (Forge), inside the island town of Mist Harbor	
NONE	2	Emberstone Hall, inside the frozen environs of the Pinefar Trading Post	
NONE	2	Hinterwilds	
NONE	2	Isle of Four Winds	
CLEAR	2	Old Ta'Faendryl	Old Ta'Faendryl (100% of 356)
NONE	2	Siren's Wood, the Festival of the Fallen fairgrounds in Ta'Vaalor,	
NONE	2	the Garden Cottage, inside the frontier town of Wehnimer's Landing	
CLEAR	2	the Hinterwilds	Cold River / The Hinterwilds (100% of 242)
CLEAR	2	the Quest Nexus	Consultation Rooms and Cells (100% of 3)
CLEAR	2	the tunnels and caverns of Zul Logoth	Zul Logoth / Kharag 'doth Dzulthu (100% of 77)
CLEAR	2	the village of Cysaegir	Cysaegir (100% of 58)
NONE	1	Arborsong, inside the island town of Mist Harbor	
CLEAR	1	Black Rose Sanitarium, outside the seaside town of Solhaven	Solhaven / Vornavis (100% of 5)
NONE	1	Cold River	
NONE	1	Drakes Vanguard Fortress	
CLEAR	1	Gyldemar Road	Ta'Illistim (100% of 50)
CLEAR	1	Ilynov Manor, inside the elven fortress of Ta'Vaalor	Ta'Vaalor (100% of 8)
NONE	1	Kodos' Cottage, outside the frontier town of Wehnimer's Landing	
NONE	1	Onyx Rose Ranch, inside the island town of Mist Harbor	
CLEAR	1	Reim Base Camp	Settlement of Reim (100% of 16)
CLEAR	1	Seareach	Brisker's Cove / Seareach (100% of 77)
NONE	1	Sonreeva	
NONE	1	Sunlit Sanctuary, inside the island town of Mist Harbor	
NONE	1	The Black Rose, inside the frontier town of Wehnimer's Landing	
NONE	1	The Falcon, inside the frontier town of Wehnimer's Landing	
NONE	1	The Great Western Sea	
CLEAR	1	Thurfel's Island	Icemule Trace (100% of 114)
CLEAR	1	Vornavis Proper	Solhaven / Vornavis (100% of 31)
NONE	1	Ye Oddity Workshop, outside the frontier town of Wehnimer's Landing	
NONE	1	somewhere in the distance	
NONE	1	the Locksmehr River	
CLEAR	1	the Northern Caravansary	Caravan Route Transport (100% of 48)
CLEAR	1	the Rift	The Rift (100% of 232)
CLEAR	1	the Ta'Vaalor Bard Guild	Ta'Vaalor (100% of 27)
CLEAR	1	the city of Ta'Vaalor	Ta'Vaalor (100% of 80)
CLEAR	1	the shadow of the Sanctum	Sea of Fire (97% of 77)
CLEAR	1	the southern part of Solhaven	Solhaven / Vornavis (100% of 191)
