# Room groups the Official 117 areas do not cover.
# Regenerate with: cargo run -p cena-map-layout --example area_triage
#
# Fill `verdict`: place | building | split      (blank = undecided)
#   place    = ONE area, kept whole. The group is a single place, and any
#              stray prefixes are its furniture.
#   building = rooms of a building; attaches to the area named in `touches`.
#   split    = several places welded into one group by the interior-doorway
#              grouping. NOT an assignment: it needs breaking up first, and
#              the pieces are usually a MIX rather than peer areas -- the
#              192-room group holding Ta'Illistim Keep and the Moonglae Inn
#              is most likely one place and one building of taillistim-town.
#              Prefix is the visible signal but not a reliable rule: the
#              prefix-pieces were each internally connected in only 19 of
#              the 45 groups tried.
#   skip     = GONE. Removed from the game and never drawn, so it needs no
#              area at all. `closed` is NOT skipped: closed means draw but
#              do not route, so Rumor Woods still needs an area to be drawn
#              in when it opens in April.
#
# The `place` and `building` rows are already in curation/areas.toml.
#
# `doorway` counts real front doors into `touches`: an indoor room here
# opening onto an outdoor room there. A `building` needs at least one.
# Adjacency alone is not belonging -- a Krolvin Warship touches
# wehnimers-landing-danjirland by one exit, has no doorway, and is an Open
# Sea Adventures ship instance rather than a building in Danjirland.
#
# `prefixes` of one or two rooms are ignored when deciding `split`.
#
verdict	rooms	indoor	outdoor	doorway	touches	locations	prefixes
split	125	92	33	0		the Pinefar Trading Post (124); Mist Harbor (1)	Briarmoon Cove (28); Everything Under the Sun (4); The Lily's Grace (4); Tunnel Vision (4); A Great Offense (3)
split	116	50	66	0		the Flotilla (116)	Crooked Docks (25); Flotilla (14); Tempest Queen (7); Market of Lost Things (6); The Drowned Moose (5)
place	113	0	113	0		Village of Velathae (113)	Velathae (71); Apple Orchard (20); Tower Hill (16); Base of Tower Hill (4); Forest Path (1)
	112	0	112	0	wehnimers-landing-town (2)	Talador (111)	Talador (65); The Murkwoods (18); Doggoroth Keep (10); Doggoroth (6); Road to Talador (6)
	111	0	111	0	wehnimers-landing-coastal-cliffs (1)	the Pinefar Trading Post (111)	Erythro Island (65); Stone Keep (20); Shores of Glaoveln (13); Arctic Waters (12); Glaoveln (1)
split	102	15	87	0		Talador (80); the city of Mestanir (22)	Idolone (25); Mestanir (21); The Demonwall (15); DragonSpines (12); Barret's Gorge (10)
	94	94	0	1	vornavis-solhaven-town (1)	Solhaven (94)	Warehouse (69); Lockers (25)
	83	79	4	1	special-naidem-west (1)	Naidem (78); the Realm of Naidem (5)	Evermore Hotel (21); Penthouse (5); Sapphire Table (2); A Carpeted Landing (1); Absinthe Table (1)
split	81	75	6	2	icemule-trace-town (2)	Icemule Trace (58); the town of Icemule Trace (23)	Rogue Guild (17); Silvermule (16); Grumbleberry Room (3); Snowberry Room (3); Winterberry Room (3)
split	80	48	32	1	krakens-fall-town (1)	Kraken's Fall (71); Bungalow at Nereid's Cradle, inside the pirate paradise of Kraken's Fall (9)	Nereid's Cradle (29); Salty's Services (18); Bungalow (12); Erienne's General Store (3); Faiyth's General Store (3)
split	75	8	67	0		Sailor's Grief (75)	Singing Crags (29); Talon Isle (29); Moghreb Jungle (17)
skip	71	0	71	0		Caligos Isle (71)	The Abandoned Waters (52); Mid-Ship (6); Main Deck (5); Starboard Promenade (3); The Depths Below (3)
split	71	50	21	0		Vornavis (71)	Academy (21); Keep Tower (20); Aldora Room (4); Selantha Room (4); Torre Room (4)
place	70	54	16	0		Nyessem (47); Brayern Isle (23)	Nyessem (47); Brayern Isle (20); Brayern Island (3)
place	70	1	69	0		Sablecross (70)	Sablecross (49); The Profane Archive (3); The Bloodhenge (2); Gauntlet Row Armory (1); Sabelcross (1)
split	69	65	4	1	isle-of-the-four-winds-mist-harbor-town (1)	Mist Harbor (69)	Bloomlit Caverns (10); Tideswept Bazaar (10); Nautilus (5); Craggy Rock Approach (3); Moontide Couture (3)
place	67	58	9	0		the free port of Solhaven (61); Solhaven (6)	Cairnfang Manor (64); Forsythia Table (1); Thistle Table (1); Windflower Table (1)
place	67	67	0	0		the Upper Trollfang (67)	Dungeon (47); Keep (13); Cavern (5); Cesspit (1); Sea of Sacrifice (1)
skip	66	0	66	0	icemule-trace-west-gate-and-ice-plains (1)	Highman Games near Icemule Trace (39); in the upper Dragonspine Mountains (27)	Jirkirl's Hilltop (59); Aspen Forest (3); Aspen Woods (3); Dragonspine (1)
place	66	5	61	0		Evermore Hollow (66)	Witch's Garden (61); Under the Witch's Cottage (4); Witch's Cottage (1)
place	63	57	6	0		Rone Academy (63)	Rone Academy (49); Academy (8); Contemplation Table (1); Enlightenment Table (1); Merchants Table (1)
place	60	58	2	0		Wehnimer's Landing (60)	Silvergate (40); Silvergate Inn (14); Black Table (1); Blue Table (1); Green Table (1)
place	60	54	6	0		Willow Hall (60)	Willow Hall (54); Fel Table (1); Haon Table (1); Maoral Table (1); Modwir Table (1)
	59	58	1	1	wehnimers-landing-sentoph (1)	Wehnimer's Landing (59)	Obsidian Tower (29); Starsnuffer's Room (6); Locker Storage (2); Briggette's Room (1); Cell (1)
split	58	53	5	0		Mist Harbor (58)	Dread Lord's Suite (10); Windfellow Tower (7); Windfellow's Retreat (4); Gemysteries (3); Pebbles With Power (3)
	58	58	0	1	elven-nations-tavaalor-town (1)	the catacombs (41); Ta'Vaalor (17)	Catacombs (50); Deep Passageway (8)
place	57	57	0	0		Talador (57)	Talador Mines (41); Talador (16)
place	57	0	57	0		Endeltime Estates, Naidem (57)	Endeltime Estates (57)
	55	53	2	1	wehnimers-landing-town (1)	Wehnimer's Landing (55)	Helden Hall (48); Helden (3); An Icy Pool (1); Oaken Room (1); Passion and Gunderin's Room (1)
place	54	52	2	0		Wehnimer's Landing (54)	House Sovyn (48); Acantha Table (1); Healer Table (1); Imaera Table (1); Praying Cleric Table (1)
split	53	28	25	0		Northern Steppes (53)	Halan Lea (21); The Ciderstep Inn (5); Seat of the Elders (3); New Heights (2); Nor'Saens Valaire (2)
	53	0	53	0	elven-nations-tavaalor-town (53); icemule-trace-town (53)	the Elemental Confluence (53)	Elemental Confluence (53)
split	52	46	6	0		Ta'Illistim (52)	Hallway (17); Hall (8); Courtyard (5); Servant's Quarters (4); Cellar (1)
place	52	51	1	0		Wehnimer's Landing (44); the Coastal Cliffs (8)	Paupers (33); Onoir (7); House of Paupers (5); Elemental Fire Table (1); Mana Table (1)
	49	49	0	0		Delirium Manor (49)	Delirium Manor (49)
	48	48	0	0		Ta'Illistim (48)	Wizard Guild (27); Nexus of Elements (12); Alchemical Workshop (5); Library (2); A Hidden Room (1)
	47	36	11	0		Solhaven's Warrior Guild (47)	Warrior Guild (25); Warrior Guild Roof (9); Warrior Guild Basement (8); Cold Storage (3); Guildmaster's Office (1)
	47	44	3	0		Wehnimer's Landing (47)	Twilight Hall (34); Twilight (8); Black Sword Table (1); Golden Star Table (1); Half Moon Table (1)
	46	46	0	2	vornavis-caravansary (2)	Solhaven (46)	Trading Post (15); A Curtained Alcove (1); Apple Table (1); Banana Table (1); Burlap Table (1)
	40	39	1	0		the Warrior Guild (40)	Warrior Guild (24); Guild Hall (16)
	40	36	4	1	elven-nations-moonstone-abbey (1)	the dark woods (40)	Moonstone Abbey (16); Second Floor (6); Tower of Liabo (4); Tower of Lornon (4); Tower of Tilaok (4)
	40	0	40	0			Rumor Woods (40)
	40	0	40	0	isle-of-the-four-winds-mist-harbor-town (1)	Mist Harbor (40)	Iyo Glade (27); Firewheel Grove (6); Jungle Path (3); Garden Gatherings (2); Concealed Conifer Close (1)
	38	38	0	1	isle-of-the-four-winds-mist-harbor-town (1)	Mist Harbor (38)	Earth Tower (7); Fire Tower (7); Water Tower (7); Air Tower (6); Alchemical (5)
	38	38	0	1	taillistim-town (1)	the Shimmarglin Inn (38)	Shimmarglin Inn (13); Amber Bear Table (1); Black Oak Room (1); Bloodstone Lizard Table (1); Bright Berry Room (1)
	38	33	5	0		Maelstrom Bay (38)	Beacon Hall (32); Dark Elf Table (1); Darkstone Table (1); Drake Table (1); Officers' Prize Closet (1)
	37	21	16	0		Kharam-Dzu (37)	Guild Hall (20); Warrior Guild (17)
	37	36	1	0	wehnimers-landing-catacombs (1)	Wehnimer's Landing (37)	House Aspis (31); Underground (3); Aspis (1); Aurien & Lyrista's Room (1); Cemb and Sieglinde's Room (1)
	37	33	4	0		Wehnimer's Landing (37)	House Arcane (32); Elanthia Table (1); Icemule Trace Table (1); River's Rest Table (1); Teras Isle Table (1)
	36	32	4	1	taillistim-town (1)	Ta'Illistim (36)	Empath Guild (33); Alchemy Workshops (1); Chamber of Healing (1); Guildmaster's Office (1)
	36	33	3	0		Wehnimer's Landing (36)	Sylvanfair (17); House Sylvanfair (11); Bowen and Diane's Room (1); Davydd and Kerrithan's Suite (1); Lady Lissa's Chamber (1)
	36	0	36	0			Liraflyswn (36)
	36	36	0	1	vornavis-solhaven-town (1)	Solhaven (36)	The Krawling Kraken (20); Burnt Bass Table (1); Crispy Cod Table (1); Lavish Lobster Table (1); Savage Storm Table (1)
	36	29	7	0		Wehnimer's Landing (1)	Skyship (36)
	35	15	20	0		Sailor's Grief (35)	The Mageborn (12); The Tonbury (10); The Kyusharu (9); Sailor's Grief (4)
	35	35	0	1	wehnimers-landing-town (1)	Wehnimer's Landing (35)	House Phoenix (29); Eonak Tapestry Table (1); Koar Tapestry Table (1); Lumnis Tapestry Table (1); Palma & Evynn's Room (1)
	35	35	0	0		White Haven (35)	White Haven (30); Granite Table (1); Ice Hound Table (1); Mithril Bear Table (1); Rose Table (1)
	33	32	1	0		Icemule Trace (33)	Wizard Guild (24); Alchemical Workshop (6); A Hidden Room (1); Alchemical Supplies (1); Mundane Supplies (1)
	33	0	33	0		Sailor's Grief (33)	Seat of Storms (14); Sailor's Grief (12); Spicers' Sea (7)
	33	33	0	0		Icemule Trace (33)	Clovertooth (11); Clovertooth Hall (6); Mayor's Office (2); Nihala's Auditorium (2); Bureaucratic Wing (1)
	32	32	0	1	wehnimers-landing-outside-gates (1)	the Graveyard (32)	Path to Enlightenment (26); Entry Hall (1); Grandmaster's Chamber (1); Hall of Brotherhood (1); Healing Chamber (1)
	32	32	0	0		Naidem (32)	Hollowlair (21); Sonreeva (11)
	31	31	0	0		the Isle of Ornath (31)	Bank of Zul Logoth (3); City-States Bank (3); Cysaegir Bank (3); Landing Bank (3); Northwatch Bank (3)
	31	31	0	0		Wehnimer's Landing (31)	Albatross (21); Let It Ride (10)
	30	27	3	0		Wehnimer's Landing (30)	Wizard Guild (18); Annex (10); A Secluded Corner (1); Wizard Guild Annex (1)
	30	30	0	0		Wehnimer's Landing (30)	Cleric Guild (18); Annex (12)
	30	30	0	0		Ta'Vaalor (30)	Cleric Guild (23); Liabo Hall (2); Lornon Hall (2); Spirit Hall (2); Grey Hall (1)
	30	0	30	0		Endeltime Estates, Naidem (30)	Bittermere Woods Gardens (30)
	30	30	0	1	teras-isle-kharam-dzu-town (1)	Kharam-Dzu (28); the town of Kharam-Dzu (2)	Rogue Guild (14); Abandoned Warehouse (10); A Dark Corner (1); A Large Crate (1); A Makeshift Booth (1)
	30	19	11	1	icemule-trace-town (1)	Icemule Trace (29)	Faire of the North (8); Brrr Necessities (3); The Best Defense (3); 'Mule Momentos (2); Elementary Elementals (2)
	29	1	28	0		the Shimmering Mists (29)	Iyo Village (29)
	29	0	29	0	rivers-rest-town (6)	the Karazja Jungle (29)	Karazja Jungle (29)
	29	29	0	1	icemule-trace-pinefar (1)	the Pinefar Trading Post (29)	Pinefar (25); Nine of Cups (1); Nine of Cups Cafe and Bar (1); Pinefar Realty (1); Pinefar Trading Post (1)
	29	29	0	0		Icemule Trace (29)	Crystalhall (23); Crystalmount (5); Crystallhall (1)
	29	24	5	0		the Warrior Guild (29)	Warrior Guild (29)
	28	28	0	0		Solhaven (28)	Cleric Guild (28)
	28	28	0	0		Kharam-Dzu (28)	Cleric Guild (28)
skip	28	28	0	0		Caligos Isle (28)	Crew Quarters (27); Warped Wavedancer (1)
	28	20	8	1	isle-of-the-four-winds-wilds (1)	Elanthia (19); Mist Harbor (9)	Militia Keep (8); The Wasteland (8); Deserted House (6); Dungeon (2); Militia Hall (1)
	28	28	0	1	special-naidem-west (1)	Evermore Hollow (28)	Wrencrest Rookery (18); Second Floor (4); Third Floor (2); Gable of the Finch (1); Gable of the Grackle (1)
	27	26	1	1	rivers-rest-town (1)	River's Rest (27)	Cleric Guild (27)
	27	23	4	0		near Fearling Pass (27)	The Keep (7); The Keep Rooftop (4); Third Floor (3); Guards' Quarters (2); Library (2)
	26	23	3	1	vornavis-solhaven-town (1)	Solhaven (26)	Sorcerer Guild (22); Arcane Studies (1); Guild Master Austeare's Office (1); Summoning Chamber (1); Unknown (1)
	26	23	3	0		the Coastal Cliffs (26)	Sorcerer Guild (12); Annex (9); Arcane Studies (1); Guild Master Baire's Office (1); Sorcerer's Guild (1)
	26	26	0	1	wehnimers-landing-castle-anwyn (1)	Wehnimer's Landing (26)	Cavernfast (26)
	26	14	12	0		the River Muagh (26)	Kragnek-Dzu (13); Emblematic (6); Clan Hall (2); Adorned Deliverance (1); Gamordi's Goods (1)
	26	26	0	1	vornavis-solhaven-town (1)	Solhaven (26)	Exotic Outlands (12); Tropics Trail (12); Aviaries (2)
	26	26	0	0		FWI Sorcerer Guild (26)	Ebonshade Tower (21); Annex (4); Summoning Chamber (1)
	26	26	0	0		Mist Harbor (26)	Bard Guild (21); Jester's Niche Table (1); Minstrel's Retreat Table (1); Poet's Corner Table (1); Skald's Nook Table (1)
	25	25	0	0		Ta'Vaalor (25)	Wizard Guild (24); A Quiet Corner (1)
	25	25	0	1	teras-isle-kharam-dzu-town (1)	Kharam-Dzu (25)	Wizard Guild (24); A Hidden Room (1)
	25	23	2	0		Kharam-Dzu (25)	Sorcerer Guild (21); Arcane Studies (1); Guild Master Grift's Office (1); Summoning Chamber (1); Unknown (1)
	25	24	1	1	wehnimers-landing-old-mine-road (1)	the old Mine Road (25)	Kobold Mines (23); Gully (1); Upper Trollfang (1)
	25	25	0	1	teras-isle-kharam-dzu-town (1)	the town of Kharam-Dzu (25)	Abidaserous's Authentic Rugs (1); Abidaserous's Backroom (1); Arienne's Artifacts (1); Bejinda's Baubles (1); Corryn's Board and Panel (1)
	25	20	5	1	vornavis-solhaven-town (1)	Wehnimer's Landing (3); Solhaven (2)	Concourse (9); Crave Dining (4); Two of a Kind (2); After All is Wed and Done (1); Bespoke Tailors (1)
	25	22	3	1	wehnimers-landing-town (1)	Wehnimer's Landing (25)	House Brigatta (23); House Brigatta. Bibliotheca (1); House Brigatta. Cozy Sanctum (1)
	25	24	1	0		Ta'Illistim (25)	Warrior Guild (23); Illistim (1); Illistim Warrior Guild (1)
	24	22	2	0		the town of Icemule Trace (24)	Sorcerer Guild (14); Alchemical Workshop (6); Arcane Studies (1); Guild Master Stark's Office (1); Summoning Chamber (1)
skip	24	24	0	0		the Feywrot Mire (18); the Feymist Cemetery (6)	Sacrificial Hall (10); Ancient Passage (4); Sunken Mausoleum (4); Sunken Mausoleam (2); Ancient Maw (1)
	24	19	5	0		the southern part of Solhaven (24)	Eorgina's Temple (21); Sacristy of Darkness (1); Sacristy of Domination (1); Sacristy of Tyranny (1)
	24	24	0	1	wehnimers-landing-town (1)	Wehnimer's Landing (24)	Big Game Hunters (2); A Way With Woods (1); Anzil's Artifacts (1); Bedelia's Sleeping Gear (1); Courtyard East (1)
	24	14	10	0		the Glaesen Star (24)	Glaesen Star (19); Aftcastle Companionway (1); Forward Maindeck Companionway (1); Maindeck 'Midships (1); Maindeck Aft Companionway (1)
	23	23	0	0		somewhere on the Great Western Sea (23)	Krolvin Warship (23)
	23	23	0	0		Ta'Vaalor (23)	Empath Guild (23)
	23	23	0	1	teras-isle-kharam-dzu-town (1)	the Abandoned Mine (23)	Abandoned Mine (22); Stormbrow (1)
	22	22	0	0		Icemule Trace (22)	Empath Guild (7); Alchemy Workroom (5); Training Garden (2); Aroma Therapy (1); Foyer (1)
	22	22	0	1	teras-isle-kharam-dzu-town (1)	the town of Kharam-Dzu (21); Kharam-Dzu (1)	Mud Baths (21); Ryjex's Private Home (1)
	22	0	22	0	wehnimers-landing-outside-gates (1)	Wehnimer's Landing (22)	Imperial Campsite (17); Encampment (5)
	22	22	0	0		Wehnimer's Landing (22)	Bard Guild (17); Taproom Pub (3); Bard's Guild (1); Hall of Ancient Instruments (1)
	21	21	0	2	isle-of-the-four-winds-mist-harbor-town (2)	Mist Harbor (21)	Alchemical Workroom (5); Eastern Corridor (2); Northern Corridor (2); Western Corridor (2); Alchemical Wares (1)
	21	20	1	1	wehnimers-landing-town (1)	Wehnimer's Landing (21)	Dragonsclaw Arms (20); Sleeping Dragon Pub (1)
	21	21	0	1	vornavis-solhaven-town (1)	the town of Solhaven (21)	Anodheles Plaza (12); Temple of Koar (4); Prelate's Quarters (3); Grand Dais (2)
	21	21	0	0		Ta'Illistim (21)	Library Aies (21)
	20	20	0	0		Wehnimer's Landing (12); the bay (8)	Spitfire (7); Baker's Good Baked Goods (4); The Magic Tart (4); A Small Closet (1); Delectable Drinks (1)
	20	20	0	0	wehnimers-landing-catacombs (1)	the catacombs (20)	Catacombs (20)
skip	20	17	3	0		Caligos Isle (20)	Warped Wavedancer (20)
building	20	20	0	1	teras-isle-kharam-dzu-town (1)	Kharam-Dzu (20)	Asylum (20)
	20	11	9	0		the Isle of Ornath (20)	Harbor's Echo Inn (10); Wavesong Grotto (6); The Crab Room (1); The Rose Room (1); The Shell Room (1)
	20	16	4	0		Wehnimer's Landing (20)	Hearthstone (20)
building	19	19	0	1	icemule-trace-town (1)	Icemule Trace (19)	Bard Guild (17); Troubadour Pub (2)
	19	14	5	0		Ta'Illistim (19)	Training Annex (12); Cleric Guild (7)
	18	15	3	0		Solhaven (18)	Ranger Guild (18)
	18	15	3	0		Kharam-Dzu (18)	Empath Guild (14); Training Area (2); Potion Garden (1); Relaxation Island (1)
skip	18	0	18	0		The Miasmic Verge (18)	Miasmic Verge (18)
	18	18	0	0		Ta'Vaalor (18)	Citadel (17); Ice Tub (1)
building	18	17	1	1	vornavis-solhaven-town (1)	the free port of Solhaven (18)	Captain's Rest (18)
	18	17	1	0		Ta'Illistim (18)	Veythorne Manor (3); Emerald Blackjack (1); Emerald Pai-Gow (1); Emerald Poker (1); Golden Blackjack (1)
	18	18	0	0		Icemule Trace (18)	Williwaw Resort (5); Chocolate Suite (3); East Wing Suites (2); Mint Suite (2); West Wing Suites (2)
	18	8	10	0		the Sea of Fire (18)	Yuvi Qorit (8); Sea of Fire (2); A Shaded Stall (1); Entwined Finds (1); Jewel of the Trade (1)
building	18	17	1	1	wehnimers-landing-town (1)	the town of Wehnimer's Landing (18)	Consortium (18)
	17	10	7	0		River's Rest (17)	Sorcerer Guild (13); Arcane Studies (1); Guild Master Haurce's Office (1); Summoning Chamber (1); Unknown (1)
building	17	17	0	1	vornavis-caravansary (1); vornavis-solhaven-town (1)	Solhaven (17)	Wine Cellar (9); Kraken Manor (8)
	17	0	17	0	elven-nations-sylvarraend-road (1)	Lumnea Meadow (17)	Lumnea Meadow (16); A Winding Path (1)
building	17	15	2	1	teras-isle-kharam-dzu-town (1)	Kharam-Dzu (11); Emberglaes Hearth, inside the isle town of Kharam-Dzu (6)	Emberglaes Hearth (7); Marienna's Market (7); Suniel's Alcove (1); Suniel's Pantry (1); Suniel's Wine Cellar (1)
	17	17	0	0		Wehnimer's Landing (17)	Albatross (13); Let It Ride (2); Fortune's Mistress Suite (1); Silvers Aweigh Spirits (1)
	17	17	0	0		Naidem (17)	Sonreeva (17)
building	17	14	3	1	vornavis-solhaven-town (1)	Vornavis Proper (17)	Vornavis (17)
	17	2	15	0		the Upper Trollfang (17)	Black Swan Castle (17)
	16	16	0	0		Kraken's Fall (16)	Tower of Knowledge (15); Private Instruction Alcove (1)
	16	5	11	0		Warcamp (16)	Warcamp (16)
	16	16	0	0		Ta'Vaalor (16)	Guardian Keep (16)
	16	14	2	0		Solhaven (16)	Schoolhouse (16)
building	16	16	0	1	isle-of-the-four-winds-mist-harbor-town (1)	Wehnimer's Landing (12); Mist Harbor (4)	Misty Isle Exteriors (16)
	16	0	16	0		Vornavis (16)	Vornavis (13); Academy (2); Turamzzyrian Academy (1)
building	16	16	0	1	elven-nations-tavaalor-town (1)	Ta'Vaalor Inns (16)	Helgreth's Tavern (4); Broadsword Table (1); Crossbow Table (1); Flamberge Table (1); Hammer Table (1)
	15	0	15	0	wehnimers-landing-danjirland (1)	somewhere on the Great Western Sea (14); the Upper Trollfang (1)	Krolvin Warship (13); Great Western Sea (1); Tower Moat (1)
building	15	15	0	3	elven-nations-tavaalor-town (3)	Ta'Vaalor (15)	Burghal Enclave (10); Gearheads (1); Stacked Vintners (1); The Datum Line (1); The Glimaerstone Heel (1)
building	15	15	0	1	teras-isle-kharam-dzu-town (1)	Kharam-Dzu (15)	Warehouse (15)
	15	15	0	0		the town of Wehnimer's Landing (15)	Hendoran Outpost (15)
	15	4	11	0	rivers-rest-town (1)	River's Rest (15)	Ranger Guild (14); A Narrow Path (1)
	15	1	14	0			Pathway (14); Droughtman's Maze (1)
building	15	10	5	1	vornavis-solhaven-town (1)	the town of Solhaven (15)	Temple of Tonis (15)
	15	12	3	0		Wehnimer's Landing (15)	House Aspis (15)
	14	14	0	0		Wehnimer's Landing (14)	Empath Guild (14)
	14	13	1	0		Ta'Vaalor (14)	ShadowGuard (13); Cathedral (1)
	14	14	0	0		the free port of Solhaven (14)	Temple of Jastev (12); Chamber of Prophecy (1); Heart of the Temple (1)
building	14	9	5	1	vornavis-solhaven-town (1)	the southern part of Solhaven (14)	Niima's Temple (14)
	14	14	0	0		the Warrior Guild (14)	Guild Hall (13); Warrior Guild Ice Tub (1)
building	14	14	0	1	isle-of-the-four-winds-mist-harbor-town (1)	Mist Harbor (14)	Shear Delight (14)
skip	14	14	0	0		Summit Academy (14)	Sylinar's Spire (14)
	14	11	3	0		Icemule Trace (14)	Vardar Lodge (11); Vardar Hollow (3)
	14	13	1	0		Wehnimer's Landing (14)	Landing Hall (14)
	14	11	3	0		Ta'Illistim (14)	Arboretum (4); Royal Arboretum (2); Arboreal Conservatory (1); Arboreal Research (1); Ethnobotany Conservatory (1)
	14	14	0	0			Skyship (14)
building	13	8	5	1	rivers-rest-town (1)	River's Rest (13)	Empath Guild (13)
building	13	8	5	1	taillistim-town (1)	Ta'Illistim (13)	Bard Guild (13)
	13	13	0	0		Icemule Trace (12)	Clovertooth Hall (13)
building	13	13	0	1	rivers-rest-town (1)	River's Rest (13)	Abalonia's Oceanic Artwork (1); Aeliena's Tables (1); Classy Ceiling-Holders (1); Cleve's Sure Surfaces (1); Comfy Catnaps (1)
	13	13	0	0		Delirium Manor (13)	Dollhouse (9); Delirium Giftshop (4)
	13	13	0	0		Mist Harbor (13)	Tanglevine Hall (13)
	13	0	13	0		Damsel of the Deep (13)	East Feywrot (9); Feywrot (2); Feywrot Mire (2)
	13	13	0	0		Kraken's Fall (13)	Kraken's Fall Hall (11); Lantern Room (1); Pour Judgement (1)
	13	11	2	0		Icemule Trace (13)	Dabbings Manor (13)
building	13	13	0	1	icemule-trace-town (1)	Icemule Trace (13)	Tartifacts Bakery (2); Blueberry Tart Table (1); Burnt Tart Table (1); Crispy Tart Table (1); Crumbly Tart Table (1)
building	12	11	1	1	taillistim-town (1)	Ta'Illistim (12)	Blue Room (1); Garden (1); Green Room (1); Grinding Room (1); Metallic Room (1)
building	12	2	10	1	isle-of-the-four-winds-mist-harbor-town (1)	Mist Harbor (12)	Isle Dyes (12)
building	12	12	0	1	wehnimers-landing-town (1)	Wehnimer's Landing (12)	Reignbeau Caverns (10); A Rainbow-Colored Tent (1); Caverns (1)
building	12	12	0	1	vornavis-solhaven-town (1)	Solhaven (12)	Empath Guild (12)
building	12	12	0	1	krakens-fall-town (1)	Kraken's Fall (12)	Converted Weather Station (8); Cobbler's Supply Corridor (1); Office of the Cobbler's Foreman (1); Office of the Registrar (1); Tanner's Corridor (1)
	12	12	0	0		Solhaven (12)	Lumnis' Temple (8); Altar of Illumination (1); Chamber of Vestments (1); Hall of Colonnades (1); Sanctuary of Journey (1)
	12	12	0	0		Ta'Vaalor (12)	Coliseum (5); Seating Area (3); Amphitheater of Kings (1); Amphitheater of the Arkati (1); Amphitheater of the Fallen (1)
	12	12	0	0		Ta'Vaalor (12)	Ta'Vaalor Hall (12)
	12	5	7	0		Ships (12)	Man O' War (12)
	12	4	8	0		The Tenebrous Cauldron (7); Ships (5)	Enemy Ship (7); Sloop (5)
